// Armazenamento de todas as perguntas e suas respectivas respostas
pergunta;a;b;c;d;correta
Qual característica define uma espécie pioneira no processo de sucessão ecológica primária?;Alta exigência de nutrientes no solo e ciclo de vida longo.;Grande capacidade de distribuição e tolerância a condições adversas.;Dependência de sombra e umidade constante para germinar.;Baixa taxa de reprodução e estabilidade populacional.;B
Qual é o componente essencial de uma vacina que estimula a imunização ativa no organismo humano?;Anticorpos prontos produzidos em outro organismo.;Antibióticos de amplo espectro para eliminar bactérias.;Antígenos atenuados ou inativados do patógeno.;Glóbulos vermelhos modificados em laboratório.;C
Qual método de separação de misturas fundamenta-se na introdução de bolhas de ar para fazer com que partículas sólidas flutuem até a superfície?;Decantação.;Filtração a vácuo.;Flotação.;Destilação fracionada.;C
A dissolução do sal bicarbonato de sódio (NaHCO₃) em água gera uma solução com caráter:;Fortemente ácido.;Neutro (pH = 7,0).;Básico (alcalino).;Anfótero volátil.;C
A substituição de plásticos convencionais derivados do petróleo por PLA (ácido poliláctico) visa principalmente:;Reduzir o custo de refinação do petróleo pesado.;Utilizar fontes renováveis e facilitar a degradação biológica no ambiente.;Aumentar a resistência térmica das embalagens industriais a níveis extremos.;Eliminar a necessidade de reciclagem.;B
No gráfico da velocidade em função do tempo (v x t) de um móvel, a área sob a curva representa numericamente:;A aceleração média desenvolvida pelo móvel.;A força resultante aplicada sobre o corpo.;O deslocamento (espaço percorrido) pelo móvel.;A energia cinética instantânea acumulada.;C
Na democracia da Atenas clássica, quem possuía o estatuto jurídico de cidadão com direito a voto na Eclésia?;Todos os habitantes da cidade, incluindo mulheres e escravos.;Homens adultos, livres, filhos de pai e mãe atenienses.;Comerciantes estrangeiros ricos que pagavam impostos elevados.;Apenas os governantes ou reis.;B
O Ato Institucional nº 5 (AI-5), promulgado em dezembro de 1968, caracterizou-se por:;Marcar a abertura política democrática da época.;Suspender garantias constitucionais, como o habeas corpus, endurecendo o regime.;Instituir o voto direto e universal para a Presidência da República.;Extinguir as forças armadas profissionais no Brasil.;B
As políticas contemporâneas de tombamento de bens imateriais (como o jongo ou o queijo de Minas) visam:;Proibir a comercialização desses produtos fora das regiões de origem.;Preservar saberes, celebrações e práticas culturais de grupos formadores da sociedade.;Arrecadar impostos federais sobre tradições antigas.;Privatizar manifestações folclóricas populares.;B
As árvores de troncos tortuosos, cascas grossas e raízes profundas são adaptações típicas da vegetação do bioma:;Caatinga.;Cerrado.;Pampa.;Mata Atlântica.;B
A expansão da fronteira agrícola moderna no Brasil em direção à região do MATOPIBA afeta diretamente as áreas nativas do:;Pantanal.;Cerrado.;Manguezal costeiro.;Floresta de Araucárias.;B
A transição do pensamento mítico para o pensamento filosófico na Grécia Antiga caracterizou-se pela busca de explicações baseadas:;Na vontade arbitrária dos deuses olímpicos.;Na racionalidade, lógica e observação da natureza (physis).;Em dogmas religiosos inquestionáveis trazidos do Oriente.;No senso comum acumulado por gerações de agricultores.;B
Conforme os autores da Escola de Frankfurt (Adorno e Horkheimer), a "Indústria Cultural" atua transformando a arte em:;Instrumento de libertação política crítica das massas.;Mercadoria massificada voltada para o entretenimento e a passividade social.;Conhecimento exclusivo de elites acadêmicas.;Ferramenta de resgate de tradições folclóricas locais.;B
Para Thomas Hobbes, a necessidade da criação do Estado (Leviatã) justifica-se para superação do "estado de natureza", marcado por:;Uma harmonia natural e pacífica entre todos os seres humanos.;Uma guerra de todos contra todos, onde a vida é breve e insegura.;Uma organização comunitária sem propriedade privada.;Um governo exercido diretamente por reis filósofos.;B
Num mapa construído na escala 1 : 50 000, uma distância em linha reta de 4 cm no papel corresponde a quantos quilômetros na realidade?;2 km.;20 km.;200 km.;0,2 km.;A
Qual é a mediana do seguinte conjunto de dados ordenados de notas de alunos: {4, 5, 6, 7, 8, 9, 10}?;6.;7.;6,5.;7,5.;B
Um reservatório tem o formato de um cilindro circular reto. Se o raio da base for duplicado e a altura mantida constante, o volume do reservatório será:;Duplicado.;Triplicado.;Quadruplicado.;Multiplicado por oito.;C
Uma empresa cobra uma taxa fixa de R$ 10,00 mais R$ 2,00 por quilômetro rodado. A lei da função que determina o preço total P em função dos quilômetros x é:;P(x) = 10x + 2;P(x) = 2x + 10;P(x) = 12x;P(x) = 2x - 10;B
Uma senha bancária é formada por 3 letras distintas seguidas de 2 algarismos de 0 a 9 também distintos. Qual expressão calcula o total de senhas possíveis (considerando um alfabeto de 26 letras)?;26 x 25 x 24 x 10 x 9;26 x 26 x 26 x 10 x 10;26! + 10!;3 x 26 x 2 x 10;A
Numa urna há 5 bolas azuis, 3 bolas vermelhas e 2 bolas verdes. Ao retirar uma bola ao acaso, qual é a probabilidade de ela ser vermelha?;30%;50%;20%;15%;A
Quando um poema tem como tema central o próprio ato de escrever e o fazer poético, predomina a função da linguagem:;Emotiva.;Fática.;Conativa.;Metalinguística.;D
A utilização de termos regionais diferentes para designar o mesmo objeto (como "mandioca", "aipim" e "macaxeira") classifica-se como variação linguística:;Diacrônica (histórica).;Diatópica (geográfica).;Diastrática (social).;Diafásica (estilo).;B
Na frase "Eu adoro ler Machado de Assis antes de dormir", ocorre a figura de linguagem conhecida como metonímia pela substituição do:;Todo pela parte.;Autor pela obra.;Abstrato pelo concreto.;Continente pelo conteúdo.;B
Qual é a principal característica tipológica de um artigo de opinião veiculado em grandes jornais?;Narração minuciosa de eventos fictícios no tempo.;Descrição exata e neutra de aspetos físicos de um objeto.;Argumentação estruturada visando defender um ponto de vista.;Instrução passo a passo sobre a utilização de um software.;C
Nas artes visuais, o movimento de vanguarda cubista (como nas obras de Picasso) caracterizou-se pela:;Representação exata e fotográfica da realidade natural.;Fragmentação geométrica das formas e destruição da perspectiva tradicional.;Valorização da velocidade, das máquinas e do ambiente industrial.;Expressão de sonhos irracionais baseados no inconsciente freudiano.;B
A literatura contemporânea digital faz uso frequente de hipertextos. Esse recurso permite ao leitor:;Seguir uma única trajetória de leitura obrigatória determinada pelo autor.;Construir o seu próprio percurso de leitura por meio de links e conexões não lineares.;Decorar o significado gramatical de todas as palavras do texto.;Eliminar a necessidade de interpretação crítica da obra.;B
Um dos objetivos centrais dos artistas intelectuais na Semana de Arte Moderna de 1922 foi:;Copiar rigorosamente as regras acadêmicas estéticas do parnasianismo francês.;Romper com o passadismo e buscar uma identidade artística genuinamente brasileira.;Banir a utilização de temáticas cotidianas nas pinturas nacionais.;Defender o retorno do Brasil ao estatuto de colônia europeia.;B
Numa ligação telefônica onde a linha apresenta ruídos e falhas, qual elemento do processo de comunicação está diretamente comprometido?;O emissor.;O código.;O canal.;A mensagem.;C
Os movimentos sociais no Brasil contemporâneo, como o movimento por moradia, caracterizam-se por:;dependerem exclusivamente de partidos políticos.;buscarem a efetivação de direitos sociais previstos na Constituição.;rejeitarem qualquer forma de organização coletiva.;atuarem apenas em áreas rurais;B
O conceito de desenvolvimento sustentável pressupõe:;a exploração máxima dos recursos naturais para o crescimento econômico.;a paralisação total da produção industrial.;o uso racional dos recursos para atender às necessidades atuais sem comprometer as gerações futuras.;a substituição completa de fontes renováveis por combustíveis fósseis.;C
A Consolidação das Leis do Trabalho (CLT), criada durante o Estado Novo, teve como objetivo:;regulamentar as relações trabalhistas e garantir direitos aos trabalhadores urbanos.;extinguir os sindicatos e proibir greves.;focar exclusivamente nos direitos dos trabalhadores rurais.;privatizar as empresas estatais recém-criadas.;A
A estrutura fundiária brasileira é historicamente marcada pela:;distribuição igualitária de terras entre pequenos produtores.;predominância de latifúndios monocultores voltados para exportação.;ausência de conflitos agrários.;forte presença de cooperativas agrícolas estatais.;B
O mito da caverna de Platão é uma alegoria que ilustra:;a importância da vida material sobre a espiritual.;o processo de libertação da ignorância (sombras) em direção ao conhecimento verdadeiro (luz).;a superioridade da democracia ateniense.;a necessidade de sacrifícios aos deuses.;B
A transferência de calor por convecção ocorre principalmente em:;sólidos.;líquidos e gases.;no vácuo.;materiais isolantes térmicos.;B
A chuva ácida é causada principalmente pela emissão de gases como:;dióxido de enxofre (SO2) e óxidos de nitrogênio (NOx).;gás oxigênio (O2) e gás hidrogênio (H2).;clorofluorcarbonetos (CFCs).;metano (CH4) e ozônio (O3).;A
A molécula responsável por armazenar a informação genética na maioria dos seres vivos é o:;RNA mensageiro.;ATP.;DNA.;Ribossomo.;C
Se um produto custa R$ 200,00 e sofre um desconto de 15%, seu novo preço será:;R$ 170,00;R$ 185,00;R$ 150,00;R$ 230,00;A
Uma característica marcante da primeira geração romântica no Brasil é o:;pessimismo e morbidez (mal do século).;indianismo e exaltação da natureza nacional.;engajamento social e abolicionismo.;rigor formal e objetividade.;B
A Guerra Fria foi caracterizada pela polarização entre duas superpotências, que eram:;Reino Unido e França.;Alemanha e Japão.;Estados Unidos e União Soviética.;China e Índia.;C
O fenômeno El Niño é caracterizado pelo:;resfriamento anormal das águas do Oceano Atlântico.;aquecimento anormal das águas do Oceano Pacífico Equatorial.;aumento das chuvas no deserto do Saara.;derretimento das calotas polares no inverno.;B
O etnocentrismo pode ser definido como:;a valorização igualitária de todas as culturas.;a tendência de julgar outras culturas a partir dos padrões da própria cultura.;a ausência de identidade cultural em uma sociedade.;a miscigenação de diferentes povos.;B
A Primeira Lei de Newton, ou Princípio da Inércia, afirma que:;a força resultante é igual à massa vezes a aceleração.;para toda ação existe uma reação igual e oposta.;um corpo em repouso ou em movimento retilíneo uniforme tende a manter seu estado se a força resultante for nula.;a energia não pode ser criada nem destruída.;C
Na reação de formação da água (2 H2 + O2 -> 2 H2O), quantos mols de H2O são formados a partir de 1 mol de O2?;1 mol.;2 mols.;3 mols.;4 mols.;B
A teoria da evolução por seleção natural foi proposta conjuntamente por Charles Darwin e:;Gregor Mendel.;Jean-Baptiste Lamarck.;Alfred Russel Wallace.;Thomas Malthus.;C
A política do café com leite, característica da Primeira República no Brasil, consistia na alternância de poder entre as oligarquias de quais estados?;São Paulo e Rio de Janeiro.;Minas Gerais e Rio Grande do Sul.;São Paulo e Minas Gerais.;Bahia e Pernambuco.;C
O processo de conurbação ocorre quando:;há o êxodo rural acelerado.;duas ou mais manchas urbanas de cidades vizinhas se encontram.;uma cidade atinge o status de metrópole global.;ocorre a gentrificação de áreas centrais.;B
O fenômeno da refração de uma onda luminosa ocorre quando a luz:;contorna um obstáculo.;muda de meio de propagação, alterando sua velocidade.;retorna ao meio de origem após atingir uma superfície.;sofre interferência destrutiva.;B
A ligação iônica é caracterizada pela:;transferência de elétrons entre um metal e um ametal.;compartilhamento de elétrons entre ametais.;atração entre cátions metálicos e um mar de elétrons.;interação entre dipolos induzidos.;A
Qual filósofo iluminista é conhecido por sua defesa da separação dos poderes do Estado em Executivo, Legislativo e Judiciário?;Jean-Jacques Rousseau.;Voltaire.;Montesquieu.;John Locke.;C
Qual obra de Machado de Assis é considerada o marco inicial do Realismo no Brasil?;Dom Casmurro.;Memórias Póstumas de Brás Cubas.;O Cortiço.;Iracema.;B
A soma dos ângulos internos de um triângulo é sempre igual a:;90 graus.;180 graus.;270 graus.;360 graus.;B
Segundo Karl Marx, a sociedade capitalista divide-se fundamentalmente em duas classes antagônicas:;nobreza e clero.;burguesia e proletariado.;patrícios e plebeus.;castas superiores e inferiores.;B
A relação ecológica em que ambas as espécies se beneficiam e a convivência é obrigatória para a sobrevivência chama-se:;mutualismo.;comensalismo.;parasitismo.;inquilinismo.;A
O pioneirismo na Primeira Revolução Industrial pertenceu a qual país?;França.;Alemanha.;Inglaterra.;Estados Unidos.;C
O bloco econômico formado por Brasil, Rússia, Índia, China e África do Sul é conhecido como:;Mercosul.;NAFTA.;União Europeia.;BRICS.;D
A unidade de medida da corrente elétrica no Sistema Internacional (SI) é o:;Volt.;Ohm.;Ampère.;Watt.;C
O etanol, presente nas bebidas alcoólicas e combustíveis, pertence à função orgânica dos:;ácidos carboxílicos.;aldeídos.;alcoóis.;éteres.;C
O conceito de 'imperativo categórico', que orienta agir de forma que a máxima de sua ação possa se tornar uma lei universal, foi formulado por:;Aristóteles.;Immanuel Kant.;Friedrich Nietzsche.;René Descartes.;B
O romance 'Macunaíma', obra central do modernismo brasileiro, foi escrito por:;Oswald de Andrade.;Mário de Andrade.;Manuel Bandeira.;Graciliano Ramos.;B
Ao lançar um dado não viciado de seis faces, qual é a probabilidade de obter um número par?;1/6;1/3;1/2;2/3;C
Qual das seguintes alternativas é um exemplo clássico de instituição social primária responsável pela socialização do indivíduo?;A escola.;A família.;O Estado.;A empresa.;B
A organela celular responsável pela respiração celular e produção de energia (ATP) é a:;mitocôndria.;ribossomo.;complexo de Golgi.;lisossomo.;A
O Ato Institucional nº 5 (AI-5), decretado em 1968, teve como consequência:;a redemocratização imediata do país.;a anistia ampla, geral e irrestrita.;o endurecimento do regime, com suspensão de garantias constitucionais.;a convocação de eleições diretas para presidente.;C
Qual foi o país sede da Copa do Mundo FIFA de 2022?;Rússia;Catar;Brasil;França;B
Qual foi a pandemia global que começou no final de 2019 e afetou o mundo nos anos seguintes?;Gripe Espanhola;H1N1;COVID-19;Ebola;C
Em 2022, qual país a Rússia invadiu, gerando um grande conflito no leste europeu?;Polônia;Ucrânia;Bielorrússia;Finlândia;B
Qual bilionário comprou a rede social Twitter em 2022 e mudou seu nome para X?;Jeff Bezos;Mark Zuckerberg;Bill Gates;Elon Musk;D
Quem venceu as eleições presidenciais da Argentina em 2023?;Sergio Massa;Alberto Fernández;Javier Milei;Mauricio Macri;C
Qual inteligência artificial desenvolvida pela OpenAI popularizou-se rapidamente a partir do final de 2022?;Bard;ChatGPT;Copilot;Midjourney;B
Qual filme venceu o Oscar de Melhor Filme em 2024?;Oppenheimer;Barbie;Pobres Criaturas;Assassinos da Lua das Flores;A
Qual cantora americana realizou a 'The Eras Tour', tornando-se a turnê de maior bilheteria da história?;Beyoncé;Lady Gaga;Ariana Grande;Taylor Swift;D
Qual país se tornou o primeiro a pousar uma espaçonave no polo sul da Lua em 2023?;Estados Unidos;Rússia;China;Índia;D
O fenômeno climático responsável por ondas de calor extremo no Brasil em 2023 e 2024 é conhecido como:;La Niña;El Niño;Ciclone Extratropical;Tsunami;B
O BRICS, grupo de países emergentes, anunciou expansão em 2023. Qual dos países abaixo NÃO faz parte do grupo original?;Brasil;Rússia;Argentina;China;C
A greve de roteiristas e atores que paralisou Hollywood em 2023 tinha como uma de suas principais pautas:;O uso de inteligência artificial;A censura de filmes;A construção de novos estúdios;O fim dos serviços de streaming;A
Qual foi o submarino (submersível) que implodiu durante uma expedição aos destroços do Titanic em 2023?;OceanX;Titan;Nautilus;DeepSea;B
Qual foi a cor eleita pela Pantone como a cor do ano de 2024?;Viva Magenta;Very Peri;Peach Fuzz;Classic Blue;C
Em 2024, qual país europeu aprovou o direito ao aborto em sua constituição, sendo o pioneiro no mundo?;Alemanha;Espanha;Itália;França;D
Qual evento astronômico chamou a atenção de milhões de pessoas na América do Norte em abril de 2024?;Chuva de Meteoros;Passagem do Cometa Halley;Eclipse Solar Total;Superlua Azul;C
Qual série da HBO baseada em um videogame fez grande sucesso em 2023 e é estrelada por Pedro Pascal?;The Witcher;The Last of Us;Halo;Fallout;B
Qual atriz interpretou a personagem Wandinha (Wednesday) na série de sucesso da Netflix?;Millie Bobby Brown;Jenna Ortega;Zendaya;Anya Taylor-Joy;B
Qual artista ganhou o Grammy de Álbum do Ano em 2024 pelo álbum 'Midnights'?;SZA;Olivia Rodrigo;Taylor Swift;Dua Lipa;C
Qual é o significado da sigla ECA?;Estatuto da Criança e do Adulto;Estatuto da Criança e do Adolescente;Entidade de Controle de Adolescentes;Estatuto de Cuidados e Assistência;B
Qual é a idade mínima exigida pela maioria das redes sociais para a criação de um perfil, visando a proteção de dados?;10 anos;12 anos;13 anos;16 anos;C
No ambiente digital, a intimidação sistemática, caracterizada por agressões verbais e psicológicas recorrentes, é chamada de:;Phishing;Cyberbullying;Grooming;Stalking;B
O compartilhamento não autorizado de fotos ou vídeos íntimos de crianças e adolescentes na internet é considerado:;Uma infração leve;Apenas uma violação de termos de uso;Crime previsto no ECA e outras leis;Liberdade de expressão;C
O que são ferramentas de 'Controle Parental'?;Aplicativos para crianças controlarem o tempo dos pais;Recursos que permitem aos responsáveis monitorar e restringir o acesso dos filhos na internet;Jogos educativos para a família;Redes sociais exclusivas para pais;B
Segundo os princípios de proteção à infância, como a publicidade direcionada a crianças na internet deve ser tratada?;É totalmente livre e sem restrições;Deve ser incentivada para educar o consumidor;É considerada abusiva e deve ser restringida;Só é permitida em redes sociais;C
O que um adolescente deve fazer imediatamente caso sofra ameaças ou chantagens no ambiente virtual?;Tentar resolver sozinho e apagar as provas;Responder com novas ameaças;Ignorar e continuar usando a plataforma normalmente;Procurar um adulto de confiança e denunciar;D
Qual direito fundamental garantido pelo ECA deve ser assegurado também no ambiente digital?;Direito de dirigir veículos;Direito ao voto obrigatório;Direito ao respeito, à dignidade e à privacidade;Direito de trabalhar em qualquer idade;C
A prática de um adulto se passar por outra pessoa na internet para ganhar a confiança de uma criança ou adolescente com fins maliciosos é conhecida como:;Grooming;Sexting;Cyberbullying;Spamming;A
De quem é a responsabilidade de garantir um ambiente digital seguro para crianças e adolescentes?;Apenas da família;Apenas do Estado;Apenas das empresas de tecnologia;Responsabilidade compartilhada entre família, sociedade, empresas e Estado;D
